steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
1220,103.26,0,37.88283157348633,0.4344360495057282,0.5321125306329003,179.58689880371094,-202.88743591308594,7258.8125,23.30999755859375,0.0,1.0,4,53359,-17.9081974029541,-0.2837080657482147,33.38150405883789,-0.5115524530410767,-0.020847734063863754,-0.3324679434299469,-0.04079968109726906,0,4047.215051194362,0.0,0.08632436289917678,1.0,-1.0,-0.3290727436542511,0.6022899150848389,-0.7153530120849609,2634,0.0
1221,103.299,0,38.065521240234375,0.43608647106617193,0.5437935208085757,178.86058044433594,-201.54977416992188,7252.06640625,12.329999923706055,0.0,1.0,4,53363,-18.338808059692383,-0.2303672432899475,33.35594177246094,-0.5249714255332947,-0.020137986168265343,-0.33557653427124023,-0.0769801139831543,0,4048.701636289974,0.0,0.04560185119044036,1.0,-1.0,-0.30541881918907166,0.277789831161499,-0.636521577835083,2635,0.0
1222,103.338,0,38.239166259765625,0.43789610325709105,0.5484923943586278,178.11834716796875,-200.21609497070312,7302.7841796875,-1.034999966621399,0.0,1.0,4,53367,-18.74010467529297,-0.1373673379421234,33.3320198059082,-0.5377910733222961,-0.02039763703942299,-0.2752479910850525,-0.06920987367630005,0,4050.198861916171,0.0,-0.0038553151534870267,1.0,-1.0,-0.37092873454093933,0.7951018810272217,-0.3540803790092468,2636,0.0
1223,103.38,0,38.4429817199707,0.4404315497265457,0.5432521094547059,177.36106872558594,-198.8826141357422,7304.962890625,-7.244999408721924,0.0,1.0,4,53371,-19.117788314819336,-0.12910571694374084,33.35200881958008,-0.5466331243515015,-0.02242376282811165,-0.17806261777877808,-0.02624780870974064,0,4051.819311751402,0.0,-0.02673235267866403,1.0,-1.0,-0.17157776653766632,0.45299437642097473,-0.8781683444976807,2638,0.0
1224,103.419,0,38.62333679199219,0.4431462658999456,0.5264634620636023,176.58795166015625,-197.54432678222656,7336.47802734375,24.52499771118164,0.0,1.0,4,53375,-19.455123901367188,-0.10981739312410355,33.36537551879883,-0.5517520308494568,-0.020952584221959114,-0.12299836426973343,0.033970367163419724,0,4053.329237365717,0.0,0.09085008769761771,1.0,-1.0,0.8818682432174683,0.2432159185409546,-0.8765935301780701,2639,0.0
1225,103.458,0,38.774330139160156,0.4458908172440048,0.5003605312145123,175.8013153076172,-196.21009826660156,7399.326171875,16.964998245239258,0.0,0.9341999888420105,4,53379,-19.83473777770996,-0.04236837476491928,33.317115783691406,-0.5583315491676331,-0.0056045325472950935,-0.17877185344696045,-0.011320143006742,0,4054.843968380941,0.0,0.06277222640346736,0.8683760166168213,-1.0,-0.21058395504951477,-0.2742166519165039,-0.6604984998703003,2640,0.0
1226,103.5,0,38.94805145263672,0.44925550581151413,0.4652636253745062,174.9998779296875,-194.87680053710938,7463.11669921875,6.524999618530273,0.0,1.0,4,53383,-20.199567794799805,-0.12808722257614136,33.30032730102539,-0.56624436378479,0.003270546905696392,-0.20918302237987518,-0.0008720271871425211,0,4056.4843263056537,0.0,0.024113503168337047,1.0,-1.0,-0.28994041681289673,0.8701438307762146,-0.33904150128364563,2641,0.0
1227,103.539,0,39.10429000854492,0.4528472317587409,0.41949996637743636,174.18516540527344,-193.54507446289062,7565.85009765625,20.115001678466797,0.0,1.0,4,53387,-20.538951873779297,-0.23893196880817413,33.27521514892578,-0.5744202136993408,-0.0002773282758425921,-0.22278650104999542,0.009910333901643753,0,4058.0107275802293,0.0,0.07449187047313899,1.0,-1.0,0.37783774733543396,0.1455325335264206,-0.7126200199127197,2642,0.0
1228,103.578,0,39.289398193359375,0.45714063025208795,0.36478410785754745,173.35523986816406,-192.21499633789062,7530.20458984375,45.494998931884766,0.0,1.0,4,53391,-20.965106964111328,-0.3188474476337433,33.22678756713867,-0.5846661925315857,-0.004646893125027418,-0.25722452998161316,-0.01813676208257675,0,4059.548455871234,0.0,0.16846672154497355,1.0,-1.0,0.7048113346099854,0.35212796926498413,-0.1723165661096573,2643,0.0
1229,103.62,0,39.48640823364258,0.46181967729265,0.3043381773281225,172.50401306152344,-190.88320922851562,7511.88427734375,25.69499969482422,9.512144606560469e-05,1.0,4,53395,-21.46392822265625,-0.334577351808548,33.141578674316406,-0.5946274995803833,-0.000190768827451393,-0.25746291875839233,0.03111511841416359,0,4061.2059759420517,0.0,0.09519388235639781,1.0,-0.9577543847262859,-0.5495462417602539,0.8460797667503357,0.08801169693470001,2644,0.0
